time,power,soc,current,voltage,output,loss,temp,warning
53.5,0.0,43.67708122482853,4.982460848140846e-14,365.11749313813834,1.819183614532108e-11,3.6865129312255618e-28,60,
53.6,0.0,43.67708122482853,4.0482494391144374e-14,365.13407022858377,1.4781537950044358e-11,2.4336745522543747e-28,60,
53.7,0.0,43.67708122482853,9.030710287255282e-14,365.1505992325346,3.297569272886681e-11,1.2110770996721471e-27,60,
53.8,0.0,43.67708122482853,0.0,365.16708028947926,0.0,0.0,60,
53.9,0.0,43.67708122482853,4.35965324212324e-14,365.1835135385014,1.5920734887680837e-11,2.82248646296957e-28,60,
54.0,0.0,43.67708122482853,-2.8026342270792258e-14,365.19989911828134,-1.0235217369947756e-11,1.1664357321455878e-28,60,
54.1,0.0,43.67708122482853,-3.7368456361056344e-14,365.216237167097,-1.3647567020927869e-11,2.0736635238143783e-28,60,
54.2,0.0,43.67708122482853,-1.2456152120352114e-14,365.2325278228254,-4.549391925861849e-12,2.304070582015976e-29,60,
54.3,0.0,43.67708122482853,-3.7368456361056344e-14,365.2487712229433,-1.3648782768374007e-11,2.073663523814231e-28,60,
54.4,0.0,43.67708122482853,6.53947986318486e-14,365.26496750452884,2.3886428997227385e-11,6.350594541681533e-28,60,
54.5,0.0,43.67708122482853,6.850883666193663e-14,365.28111680426264,2.5024984366833023e-11,6.969813510598327e-28,60,
54.6,0.0,43.67708122482853,1.8684228180528172e-14,365.2972192584287,6.825296598336912e-12,5.184158809535946e-29,60,
54.7,0.0,43.67708122482853,-6.53947986318486e-14,365.31327500291565,-2.38895880563568e-11,6.350594541681533e-28,60,
54.8,0.0,43.67708122482853,7.473691272211269e-14,365.329284173218,2.73035828260857e-11,8.294654095256923e-28,60,
54.9,0.0,43.67708122482853,-9.342114090264086e-15,365.3452469044373,-3.4130969789169554e-12,1.2960397023839865e-29,60,
55.0,0.0,43.67708122482853,3.1140380300880286e-15,365.3611633312831,1.1377485573308192e-12,1.440044113759985e-30,60,
55.1,0.0,43.67708122482853,-1.5570190150440142e-14,365.3770335880741,-5.688989889570068e-12,3.6001102843999623e-29,60,
55.2,0.0,43.67708122482853,3.1140380300880286e-15,365.39285780873956,1.1378472551389624e-12,1.440044113759985e-30,60,
55.3,0.0,43.67708122482853,-8.096498878228875e-14,365.4086361268202,-2.958530612495943e-11,9.734698209016808e-28,60,
55.4,0.0,43.67708122482853,-3.1140380300880285e-14,365.4243686754693,-1.1379453811763198e-11,1.440044113759985e-28,60,
